road_name,road_type_raw,road_category,road_length_meters,latitude,longitude
,residential,Inner Road,14.875820003611484,16.569855500000003,80.6305916
,residential,Inner Road,107.59058090397511,16.569341602775964,80.63044180923734
,residential,Inner Road,14.875820003611484,16.569855500000003,80.6305916
,residential,Inner Road,75.18708216786231,16.57012298823123,80.63035076199422
,residential,Inner Road,74.80207132846331,16.569767465100636,80.63094075675967
,residential,Inner Road,51.44031014083191,16.569773268515494,80.6313948349954
,residential,Inner Road,152.4074335392712,16.570486638760407,80.63116186274594
,residential,Inner Road,86.08909787164744,16.569703017136607,80.6318463787302
,secondary,Main Road,33.59176350381559,16.570074249999998,80.6326494
,residential,Inner Road,156.0218789732583,16.57036122805187,80.63194934964815
,secondary,Main Road,72.20540345387047,16.56969935568181,80.63234412988746
,secondary,Main Road,33.59176350381559,16.570074249999998,80.6326494
,residential,Inner Road,375.08728249565183,16.569316597659913,80.63425535188385
,secondary,Main Road,43.6680429811922,16.570343311780572,80.63287849118954
,residential,Inner Road,91.44406508417714,16.570709568603235,80.63263669082151
,secondary,Main Road,43.6680429811922,16.570343311780572,80.63287849118954
,secondary,Main Road,28.79198892099857,16.57060212143811,80.63308489888445
,residential,Inner Road,83.88446573256871,16.57061125,80.633729
,residential,Inner Road,24.844770359109685,16.570747500000003,80.63327195
,secondary,Main Road,28.79198892099857,16.57060212143811,80.63308489888445
,secondary,Main Road,75.42649567262244,16.57098727151038,80.633363306381
,residential,Inner Road,34.302535676702625,16.570876048864104,80.63128881803767
,residential,Inner Road,70.2756503295323,16.571034878764973,80.63151962544842
,residential,Inner Road,156.0218789732583,16.570361228051873,80.63194934964815
,residential,Inner Road,47.39344470997776,16.5711924,80.6314345
,residential,Inner Road,26.033889405481847,16.571054114883246,80.63122434806526
,residential,Inner Road,34.302535676702625,16.570876048864104,80.63128881803767
,residential,Inner Road,19.079925866042508,16.5711432,80.63086899999999
,residential,Inner Road,25.330576330798962,16.5711642,80.6310125
,residential,Inner Road,26.033889405481847,16.571054114883246,80.63122434806526
,residential,Inner Road,45.505485361203625,16.571289210319097,80.63121593238706
,residential,Inner Road,152.4074335392712,16.570486638760414,80.63116186274596
,residential,Inner Road,25.330576330798962,16.5711642,80.6310125
,residential,Inner Road,44.51914211465718,16.5713996,80.63100115
,residential,Inner Road,19.079925866042508,16.5711432,80.63086899999999
,residential,Inner Road,25.904668122323713,16.571267362143693,80.63079817592961
,residential,Inner Road,9.9514830476841,16.571278749999998,80.6306688
,residential,Inner Road,4.288526322200573,16.57132515,80.63169435
,residential,Inner Road,17.88004749713355,16.571345450000003,80.6316097
,residential,Inner Road,70.2756503295323,16.571034878764973,80.63151962544842
,residential,Inner Road,45.96368100790489,16.5715048,80.63078365000003
,residential,Inner Road,9.9514830476841,16.571278749999998,80.6306688
,residential,Inner Road,24.42961352896642,16.571370248459885,80.63058795265239
,residential,Inner Road,25.904668122323713,16.571267362143693,80.63079817592961
,residential,Inner Road,4.288526322200573,16.57132515,80.63169435
,residential,Inner Road,45.40194302814577,16.57151785,80.63181234999999
,residential,Inner Road,76.10973447162228,16.571143399491053,80.63199434902447
,residential,Inner Road,47.39344470997776,16.5711924,80.6314345
,residential,Inner Road,25.574454657731554,16.57142675,80.63142450000001
,residential,Inner Road,17.88004749713355,16.571345450000003,80.6316097
,residential,Inner Road,52.48108362489061,16.571591066801773,80.63164892569021
,residential,Inner Road,26.386360826335302,16.57152515,80.63120359999999
,residential,Inner Road,25.574454657731554,16.57142675,80.63142450000001
,residential,Inner Road,49.80405661669498,16.57167142201617,80.63141813031783
,residential,Inner Road,45.505485361203625,16.571289210319097,80.63121593238705
,residential,Inner Road,61.53431843263912,16.57172595,80.62899395
,residential,Inner Road,68.5406034563742,16.571253596448773,80.62929999375456
,residential,Inner Road,58.44242485945419,16.5718133359725,80.62920271700274
,residential,Inner Road,38.87803425454161,16.57173385,80.63117845
,residential,Inner Road,44.51914211465718,16.5713996,80.63100115
,residential,Inner Road,26.386360826335302,16.57152515,80.63120359999999
,residential,Inner Road,26.076791305310774,16.571634641387423,80.63098561942807
,residential,Inner Road,45.40194302814577,16.57151785,80.63181234999999
,residential,Inner Road,45.992292166442915,16.57161185,80.63057935
,residential,Inner Road,71.0963466484309,16.57163903260415,80.63036656413813
,residential,Inner Road,24.42961352896642,16.571370248459885,80.63058795265239
,residential,Inner Road,26.170023701794427,16.5717964,80.63093185
,residential,Inner Road,45.96368100790489,16.5715048,80.63078365000003
,residential,Inner Road,25.211526278694308,16.571744905127737,80.63077427649937
,residential,Inner Road,26.076791305310774,16.571634641387423,80.63098561942807
,residential,Inner Road,52.4810836248906,16.571591066801776,80.63164892569021
,residential,Inner Road,31.963937166616873,16.5719281,80.63073705
,residential,Inner Road,45.992292166442915,16.57161185,80.63057935
,residential,Inner Road,25.170539757891103,16.5718521,80.63056605
,residential,Inner Road,25.211526278694308,16.571744905127737,80.63077427649937
